Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
xuiOptionsVideoLODDistanceTooltip2,UI,Xui Video Options,x,,The overall maximum level of detail at which the world is displayed.\nPerformance Impact: [FF0000]High[-]\n,,"Der maximale Detaillierungsgrad, in dem die Welt dargestellt wird.\nAuswirkung auf die Leistung: [FF0000]Hoch[-]\n",Nivel máximo global de detalle en el que se visualiza el mundo.\nImpacto sobre el rendimiento: [FF0000]Alto[-]\n,Le niveau de détails général maximal au sein du jeu.\nImpact sur la performance : [FF0000]élevée[-]\n,Il massimo livello di dettaglio a cui è mostrato il mondo di gioco.\nImpatto sulle prestazioni: [FF0000]Alto[-]\n,表示されているワールドにおける全体的な最高レベルのディテールです。\nパフォーマンスへの影響：[FF0000]高[-]\n,세계가 보이는 세부 사항의 전체 최대 수준입니다.\n성능 영향: [FF0000]높음[-]\n,Ogólny maksymalny poziom szczegółowości wyświetlania świata.\nWpływ na wydajność: [FF0000]Wysokie[-]\n,A distância máxima geral do nível de detalhe no qual o mundo é exibido.\nImpacto no desempenho: [FF0000]Alto[-]\n,"Общий максимальный уровень детализации, при котором отображается мир.\nВлияние на производительность: [FF0000]сильное[-]\n",Dünyanın görüntülendiği toplam maksimum ayrıntı düzeyi.\nPerformansa Etkisi: [FF0000]Yüksek[-]\n,整个世界呈现细节的全局最大距离。\n性能影响：[FF0000]高[-]\n,世界中顯示的整體最大細節水平\n性能影響：[FF0000]高[-]\n,Nivel máximo global de detalle en el que se visualiza el mundo.\nImpacto sobre el rendimiento: [FF0000]Alto[-]\n

xuiOptionsVideoTerrainQualityTooltip2,UI,Xui Video Options,x,,Overall quality and distance of the terrain. Distance will not update while playing a game.\nPerformance Impact: [FF0000]High[-],,Gesamtqualität und Entfernung des Geländes.\nDie Entfernung wird während eines Spiels nicht aktualisiert.\nAuswirkung auf die Leistung: [FF0000]Hoch[-],Calidad general y distancia del terreno.\nLa distancia no se actualizará durante el juego.\nImpacto sobre el rendimiento: [FF0000]Alto[-],Qualité globale et distance d'affichage du terrain.\nLa distance ne sera pas mise à jour si vous êtes dans une partie.\nImpact sur les performances : [FF0000]élevé[-],"Qualità generale e distanza dal terreno.\nDurante una partita, la distanza non viene aggiornata.\nImpatto sulle prestazioni: [FF0000]Alto[-]",全体の画質と地形距離。\nゲーム中に距離は更新されません。\nパフォーマンス影響: [FF0000]高[-],지형의 전체 품질 및 거리입니다.\n게임을 플레이하는 동안 거리는 업데이트되지 않습니다.\n성능 영향: [FF0000]높음[-],Ogólna jakość i odległość terenu.\nOdległość nie będzie aktualizowana podczas rozgrywki.\nWpływ na wydajność: [FF0000]Wysoki[-],Detalhamento geral da qualidade e distância do terreno.\nA distância não atualizará enquanto estiver num jogo.\nImpacto no desempenho: [FF0000]alto[-],Общее качество и размер отображаемой поверхности.\nРазмер не будет обновляться во время игры.\nВлияние на производительность: [FF0000]высокое[-],Arazinin genel kalite ve mesafesi.\nOyun oynarken mesafe güncellenmez.\nPerformansa Etkisi: [FF0000]Yüksek[-],地形的整体质量和距离。\n游戏过程中不会更新距离。\n性能影响：[FF0000]高[-],地形的整體品質與距離。\n遊戲進行中，距離不會更新。\n效能影響：[FF0000]高[-],Calidad general y distancia del terreno.\nLa distancia no se actualizará durante el juego.\nImpacto sobre el rendimiento: [FF0000]Alto[-]
xuiOptionsVideoGrassDistanceTooltip2,UI,Xui Video Options,x,,The maximum distance at which you can see grass.\nPerformance Impact: [FF9018]Medium[-]\n,,"Die maximale Entfernung, aus der du Gras sehen kannst.\nAuswirkung auf die Leistung: [FF9018]Mittel[-]\n",Distancia máxima a la que se puede ver la hierba.\nImpacto sobre el rendimiento: [FF9018]Medio[-]\n,La distance maximale à laquelle vous pouvez voir l'herbe.\nImpact sur la performance : [FF9018]moyen[-]\n,La distanza massima da cui è visibile l'erba.\nImpatto sulle prestazioni: [FF9018]Medio[-]\n,草が視界に入る最長距離です。\nパフォーマンスへの影響：[FF9018]中[-]\n,풀을 볼 수 있는 최대 거리입니다.\n성능 영향: [FF9018]중간[-]\n,"Określa, z jak daleka widoczna jest trawa.\nWpływ na wydajność: [FF9018]Średnie[-]\n",Distância máxima da qual você pode ver a grama.\nImpacto no desempenho: [FF9018]Médio[-]\n,"Максимальное расстояние, на котором видно траву.\nВлияние на производительность: [FF9018]среднее[-]\n",Otları görebileceğin maksimum mesafe.\nPerformansa Etkisi: [FF9018]Orta[-]\n,你可以看到草地的最远距离。\n性能影响：[FF9018]中等[-]\n,能看到草的最大距離。\n性能影響：[FF9018]中等[-]\n,Distancia máxima a la que se puede ver la hierba.\nImpacto sobre el rendimiento: [FF9018]Medio[-]\n
xuiOptionsVideoObjectQualityTooltip2,UI,Xui Video Options,x,,Overall detail of entities and trees based on how far away they are. Also the distance at which they will no longer be shown.\nPerformance Impact: [FF0000]High[-],,"Gesamtdetail aller Einheiten und Bäume basierend darauf, wie weit sie entfernt sind. Auch die Entfernung, in der sie nicht mehr angezeigt werden.\nAuswirkung auf die Leistung: [FF0000]Hoch[-]",Detalle general de las entidades y los árboles según qué tan lejos se encuentren. También la distancia a la que ya no se mostrarán. \nImpacto sobre el rendimiento: [FF0000]Alto[-],Détails globaux des entités et des arbres en fonction de la distance. Affecte également la distance à laquelle ils n'apparaîtront plus.\nImpact sur les performances : [FF0000]élevé[-],Dettagli delle entità e degli alberi in base alla loro distanza e la distanza a cui non sono più visibili.\nImpatto sulle prestazioni: [FF0000]Alto[-],エンティティと樹木の距離に基づく全体的な詳細。またそれらが非表示となるまでの距離。\nパフォーマンス影響: [FF0000]高[-],오브젝트 및 나무가 얼마나 멀리 있는지에 따른 전체적인 디테일 묘사 품질입니다. 어느 거리부터 더 이상 보이지 않게 되는지에도 적용됩니다.\n성능 영향: [FF0000]높음[-],"Ogólna szczegółowość obiektów i drzew zależna od ich oddalenia oraz dystans, z którego przestają być widoczne.\nWpływ na wydajność: [FF0000]Wysoki[-]",Detalhamento geral de entidades e árvores conforme a distância. Também a distância limite em que exibidos.\nImpacto no desempenho: [FF0000]alto[-],"Общая детализация объектов и деревьев в зависимости от дальности расположения, а также дистанция, на которой они перестанут отображаться.\nВлияние на производительность: [FF0000]высокое[-]",Mesafelerine göre varlık ve ağaçların genel ayrıntı düzeyi. Ayrıca nesnelerin artık gösterilmeyeceği mesafeyi de belirler.\nPerformansa Etkisi: [FF0000]Yüksek[-],实体和树木基于间隔距离的整体细节。也是实体和树木不在出现时的距离。\n性能影响：[FF0000]高[-],基於距離的實體與樹木整體細節。同時也影響這些物體不再顯示的距離。\n效能影響：[FF0000]高[-],Detalle general de las entidades y los árboles según qué tan lejos se encuentren. También la distancia a la que ya no se mostrarán. \nImpacto sobre el rendimiento: [FF0000]Alto[-]
xuiOptionsVideoOcclusionTooltip2,UI,Xui Video Options,x,,Disables drawing of objects that are not visible. Boosts indoor performance. Cannot be changed while in a game.\nPerformance Impact: [FF9018]Medium CPU[-]\n,,Deaktiviert das Zeichnen von nicht sichtbaren Objekten. Erhöht die Leistung in Innenbereichen.\nKann nicht während des Spiels geändert werden.\nAuswirkung auf die Leistung: [FF9018]Mittel auf Prozessor[-]\n,Desactiva el dibujo de objetos que no son visibles. Aumenta el rendimiento en interiores\nNo se puede cambiar durante el juego.\nImpacto sobre el rendimiento: [FF9018]CPU media[-]\n,Désactive l'affichage des objets non visibles. Booste les performances en intérieur.\nPeut être modifié en cours de partie.\nImpact sur la performance : [FF9018]moyen (processeur)[-]\n,Disattiva le sagome di oggetti che non sono visibili. Migliora le prestazioni negli ambienti chiusi.\nNon può essere modificata durante una partita.\nImpatto sulle prestazioni: [FF9018]CPU media[-]\n,目に見えないオブジェクトの描画を無効にします。屋内の描画パフォーマンスを上げます。\nゲーム中には変更できません。\nパフォーマンスへの影響：[FF9018]中程度のCPU[-]\n,보이지 않는 물체의 드로잉 비활성화. 실내에서의 성능을 증가시킵니다.\n게임 중에는 변경할 수 없습니다.\n성능 영향: [FF9018]중간 CPU[-]\n,Wyłącza rysowanie niewidocznych obiektów. Zwiększa wydajność w pomieszczeniach.\nNie można zmienić w grze.\nWpływ na wydajność: [FF9018]Średni wpływ na procesor[-]\n,Desativa o desenho de objetos invisíveis. Melhora o desempenho interno.\n Não pode ser alterado durante um jogo.\nImpacto no desempenho: [FF9018]CPU Médio[-]\n,"Прорисовка объектов, которые не видны, отключена. Повышает производительность в помещении.\nНельзя изменить во время игры.\nВлияние на производительность: [FF9018]среднее (процессор)[-]\n",Görünmeyen nesnelerin çizilmesini devre dışı bırakır. İç mekanda performansı artırır.\nOyun içindeyken değiştirilemez.\nPerformansa Etkisi: [FF9018]CPU üzerinde orta düzey[-]\n,禁用不可见物体的贴图绘制。提升室内性能。\n游戏内无法进行更改。\n性能影响：[FF9018]中等CPU[-]\n,禁用不可見對象的繪製提升室內性能。\n遊戲中不可改變。\n性能影響：[FF9018]中等 CPU[-]\n,Desactiva el dibujo de objetos que no son visibles. Aumenta el rendimiento en interiores\nNo se puede cambiar durante el juego.\nImpacto sobre el rendimiento: [FF9018]CPU media[-]\n

xuiOptionsVideoBloomTooltip2,UI,Xui Video Options,x,,A glow around brighter highlights.\nPerformance Impact: [FF9018]Medium[-]\n,,Hellste Bildteile erhalten ein Leuchten.\nAuswirkung auf die Leistung: [FF9018]Mittel[-]\n,Un resplandor alrededor de las luces más brillantes.\nImpacto sobre el rendimiento: [FF9018]Medio[-]\n,Affiche une lueur autour des points les plus lumineux.\nImpact sur la performance : [FF9018]moyen[-]\n,Produce un alone intorno alle fonti luminose più intense.\nImpatto sulle prestazioni: [FF9018]Medio[-]\n,非常に明るい光が物体の周りに溢れます。\nパフォーマンスへの影響：[FF9018]中[-]\n,주변의 빛이 더 밝게 빛납니다.\n성능 영향: [FF9018]중간[-]\n,Blask wokół jaśniejszych elementów.\nWpływ na wydajność: [FF9018]Średnie[-]\n,Iluminação ao redor de realces mais claros.\nImpacto no desempenho: [FF9018]Médio[-]\n,Свечение вокруг ярких световых пятен.\nВлияние на производительность: [FF9018]среднее[-]\n,Daha parlak vurgular çevresinde parıltı oluşturur.\nPerformansa Etkisi: [FF9018]Orta[-]\n,高光处带有辉光。\n性能影响：[FF9018]中等[-]\n,高光處周圍的輝光。\n性能影響：[FF9018]中等[-]\n,Un resplandor alrededor de las luces más brillantes.\nImpacto sobre el rendimiento: [FF9018]Medio[-]\n
xuiOptionsVideoDepthOfFieldTooltip2,UI,Xui Video Options,x,,Distant objects get blurred.\nPerformance Impact: [FF9018]Medium[-]\n,,Entferntere Objekte erscheinen verschwommen.\nAuswirkung auf die Leistung: [FF9018]Mittel[-]\n,Los objetos distantes se vuelven borrosos.\nImpacto sobre el rendimiento: [FF9018]Medio[-]\n,Les objets distants sont flous.\nImpact sur la performance : [FF9018]moyen[-]\n,Gli oggetti lontani sono sfocati.\nImpatto sulle prestazioni: [FF9018]Medio[-]\n,遠くのオブジェクトがぼやけます。\nパフォーマンスへの影響：[FF9018]中[-]\n,먼 거리에 있는 물체가 흐리게 보입니다.\n성능 영향: [FF9018]중간[-]\n,Odległe obiekty zostają rozmyte.\nWpływ na wydajność: [FF9018]Średnie[-]\n,Os objetos distantes ficam desfocados.\nImpacto no desempenho: [FF9018]Médio[-]\n,Отдаленные объекты размыты.\nВлияние на производительность: [FF9018]среднее[-]\n,Uzak nesneler bulanıklaştırılır.\nPerformansa Etkisi: [FF9018]Orta[-]\n,远处物体变得模糊。\n性能影响：[FF9018]中等[-]\n,遠處物體變得模糊。\n性能影響：[FF9018]中等[-]\n,Los objetos distantes se vuelven borrosos.\nImpacto sobre el rendimiento: [FF9018]Medio[-]\n
xuiOptionsVideoMotionBlurTooltip2,UI,Xui Video Options,x,,Quality level of motion blur (more pixel samples & smoothing).\nPerformance Impact: [FF0000]High[-]\n,,Qualität der Bewegungsunschärfe (mehr Pixelproben und Glättung).\nAuswirkung auf die Leistung: [FF0000]Hoch[-]\n,Nivel de calidad de la difuminación por movimiento (más muestras de píxeles y suavizado).\nImpacto sobre el rendimiento: [FF0000]Alto[-]\n,Le niveau de qualité du flou cinétique (davantage d'échantillonnages et de lissages de pixels)\nImpact sur la performance : [FF0000]élevée[-]\n,Livello di qualità della sfocatura di movimento (più pixel e fluidità).\nImpatto sulle prestazioni: [FF0000]Alto[-]\n,モーションブラーのクオリティーレベル（ピクセルサンプルおよびスムージングを高くする）です。\nパフォーマンスへの影響：[FF0000]高[-]\n,모션 블러의 퀄리티 수준 (더 많은 픽셀 샘플 & 스무딩).\n성능 영향: [FF0000]높음[-]\n,Poziom jakości rozmycia ruchu (więcej próbek pikseli i wygładzania).\nWpływ na wydajność: [FF0000]Wysokie[-]\n,Nível de qualidade do desfoque de movimento (mais amostras de pixel e suavização).\nImpacto no desempenho: [FF0000]Alto[-]\n,Уровень размытия в движении (больше пикселей и сглаживания).\nВлияние на производительность: [FF0000]сильное[-]\n,Hareket bulanıklığının kalite düzeyi (daha fazla piksel örneği ve yumuşatması).\nPerformansa Etkisi: [FF0000]Yüksek[-]\n,动态模糊的质量等级（更多像素采样和平滑）\n性能影响：[FF0000]高[-]\n,動態模糊質量水平（更多像素樣本和平滑化）\n性能影響：[FF0000]高[-]\n,Nivel de calidad de la difuminación por movimiento (más muestras de píxeles y suavizado).\nImpacto sobre el rendimiento: [FF0000]Alto[-]\n
xuiOptionsVideoSSAOTooltip2,UI,Xui Video Options,x,,Use the image effect SSAO which draws more detailed shadows on objects.\nPerformance Impact: [FF9018]Medium[-]\n,,"Die Rendering-Technik SSAO verwenden, die für Objekte detailliertere Schatten kreiert.\nAuswirkung auf die Leistung: [FF9018]Mittel[-]\n",Utiliza el efecto de imagen SSAO que dibuja sombras más detalladas sobre los objetos.\nImpacto sobre el rendimiento: [FF9018]Medio[-]\n,Utilise l'effet visuel d'occlusion ambiante qui dessine des ombres plus détaillées sur les objets.\nImpact sur la performance : [FF9018]moyen[-]\n,Disegna ombre più dettagliate sugli oggetti mediante l'occlusione dello spazio ambientale. \nImpatto sulle prestazioni: [FF9018]Medio[-]\n,オブジェクトにより精密な影を落とす画像効果SSAOを使用します。\nパフォーマンスへの影響：[FF9018]中[-]\n,물체의 보다 자세한 그림자를 그려내는 SSAO 이미지 효과를 사용합니다.\n성능 영향: [FF9018]중간[-]\n,Użyj efektu obrazu SSAO generującego bardziej szczegółowe cienie na obiektach.\nWpływ na wydajność: [FF9018]Średnie[-]\n,Use o efeito de imagem SSAO que exibe sombras mais detalhadas em objetos.\nImpacto no desempenho. [FF9018]Médio[-]\n,"Использовать эффект SSAO, при котором прорисованы более детальные тени объектов.\nВлияние на производительность: [FF9018]среднее[-]\n",Nesneler üzerinde daha ayrıntılı gölgeler çizen SSAO görsel efektini kullan.\nPerformansa Etkisi: [FF9018]Orta[-]\n,使用画面效果环境光遮蔽可以表现物体阴影的更多细节。\n性能影响：[FF9018]中等[-]\n,使用圖像效果 SSAO 在物體上繪製更詳細的陰影。\n性能影響：[FF9018]中等[-]\n,Utiliza el efecto de imagen SSAO que dibuja sombras más detalladas sobre los objetos.\nImpacto sobre el rendimiento: [FF9018]Medio[-]\n
xuiOptionsVideoSSReflectionsTooltip2,UI,Xui Video Options,x,,Use the screen space reflection effect.\nPerformance Impact: [FF0000]High[-]\n,,Verwende den „Screen Space“-Reflektions-Effekt.\nAuswirkung auf die Leistung: [FF0000]Hoch[-]\n,Usa el efecto de reflexión del espacio de la pantalla.\nImpacto sobre el rendimiento: [FF0000]Alto[-]\n,Utilisez l'effet de reflet espace écran.\nImpact sur la performance : [FF0000]élevée[-]\n,Usa l'effetto riflesso dello spazio sullo schermo.\nImpatto sulle prestazioni: [FF0000]Alto[-]\n,スクリーンスペース反射エフェクトを使用します。\nパフォーマンスへの影響：[FF0000]高[-]\n,화면 공간 반사 (SSR)을 사용합니다.\n성능 영향: [FF0000]높음[-]\n,Używaj efektu odbicia przestrzeni ekranu.\nWpływ na wydajność: [FF0000]Wysokie[-]\n,Use o efeito de reflexo do espaço da tela.\nImpacto no desempenho: [FF0000]Alto[-]\n,Использовать эффект отражения в отображаемом пространстве.\nВлияние на производительность: [FF0000]высокое[-]\n,Ekran alanı yansımaları etkisini kullan.\nPerformansa Etkisi: [FF0000]Yüksek[-]\n,使用屏幕空间反射效果。\n性能影响：[FF0000]高[-]\n,使用螢幕空間反射效果\n性能影響：[FF0000]高[-]\n,Usa el efecto de reflexión del espacio de la pantalla.\nImpacto sobre el rendimiento: [FF0000]Alto[-]\n
xuiOptionsVideoSunShaftsTooltip2,UI,Xui Video Options,x,,Aka. God Rays. Shines rays of light from the sun past obstructing objects.\nPerformance Impact: [FF9018]Medium[-]\n,,Auch Strahlenbüschel genannt.  Lässt Lichtstrahlen von der Sonne an den Rändern von Objekten im Sichtfeld erscheinen.\nAuswirkung auf die Leistung: [FF9018]Mittel[-]\n,También: Rayos crepusculares.  Hace que los rayos solares superen los objetos que lo obstruyen\nImpacto sobre el rendimiento: [FF9018]Medio[-]\n,Plus connus sous le nom de rayons divins.  Projette des rayons de lumière au-delà des objets qui se trouvent devant le soleil.\nImpact sur la performance : [FF9018]moyen[-]\n,Anche detti raggi crepuscolari.  Sono raggi di luce solare che si irradiano dagli ostacoli.\nImpatto sulle prestazioni: [FF9018]Medio[-]\n,別名：薄明光線です。太陽を遮るオブジェクトからもれる光の筋です。\nパフォーマンスへの影響：[FF9018]中[-]\n,"일명 갓 레이, 신의 빛줄기입니다.  햇빛이 물체를 지나며 빛 줄기를 만들어냅니다.\n성능 영향: [FF9018]중간[-]\n",Albo inaczej: Promienie Boga.  Promienie słońca przechodzące przez obiekty.\nWpływ na wydajność: [FF9018]Średnie[-]\n,conhecidos como Raios Divinos  Lança um raio de luz do sol que obstrui objetos.\nImpacto no desempenho: [FF9018]Médio[-]\n,Он же: объемные лучи.  Мерцание при перемещении солнечных лучей через движущиеся объекты.\nВлияние на производительность: [FF9018]среднее[-]\n,"Diğer adıyla Tanrı Işınları.  Güneşten gelen ışık huzmeleri, geçirgen olmayan nesnelerin içinden geçer.\nPerformansa Etkisi: [FF9018]Orta[-]\n",也被称为：神的射线。太阳的光线会穿过挡住的物体。\n性能影响：[FF9018]中等[-]\n,又稱聖光太陽光線穿越障礙物。\n性能影響：[FF9018]中等[-]\n,También: Rayos crepusculares.  Hace que los rayos solares superen los objetos que lo obstruyen\nImpacto sobre el rendimiento: [FF9018]Medio[-]\n

Video Options, UI Settings
xuiOptionsVideoLanguageTooltip2,UI,Xui Video Options,newKey,,Language used in the game. Requires a restart to apply.,,"Die im Spiel verwendete Sprache.\nUm die Einstellung zu übernehmen, ist ein Neustart erforderlich.",Idioma del juego.\nEs necesario reiniciar para aplicar el cambio.,Langue utilisée en jeu.\nUn redémarrage est nécessaire pour appliquer le changement.,Lingua utilizzata nel gioco.\nÈ necessario riavviare per applicare la modifica.,ゲーム内で使用される言語です。\n適用するには再起動が必要です。,게임에서 사용하는 언어입니다.\n적용하려면 다시 시작해야 합니다.,Język używany w grze.\nZastosowanie zmiany wymaga ponownego uruchomienia.,Idioma usado no jogo.\nÉ preciso reiniciar para aplicar.,Используемый в игре язык.\nДля применения нужен перезапуск.,Oyunda kullanılan dil.\nUygulamak için yeniden başlatma gerekir.,已在游戏中使用语言。\n生效需要重启游戏。,遊戲中使用的語言。\n需要重新啟動方可生效。,Idioma del juego.\nEs necesario reiniciar para aplicar el cambio.
xuiOptionsVideoUIBackgroundOpacityTooltip2,UI,Xui Video Options,x,,UI wallpaper/background opacity/transparency.,,Benutzeroberfläche: Transparenz des Hintergrunds,Papel tapiz de la interfaz de usuario/fondo opacidad/transparencia.,Opacité/transparence de l'arrière-plan ou du fond de l'interface utilisateur.,Opacità/trasparenza dello sfondo IU,UI 壁紙/背景の不透明度/透明度。,UI 월페이퍼/배경 불투명도/투명도.,Nieprzezroczystość / przezroczystość tapety / tła interfejsu,Opacidade/transparência do plano de fundo/papel de parede da IU.,Обои ПИ/ фон. непрозрачность/ прозрачность.,Arayüz duvar kağıdı/arka plan opaklığı/saydamlığı.,UI墙纸/背景透明度/可见度。,UI 墻紙/背景不透明/透明度。,Papel tapiz de la interfaz de usuario/fondo opacidad/transparencia.
xuiOptionsVideoUIForegroundOpacityTooltip2,UI,Xui Video Options,x,,UI outlines and icon opacity/transparency.,,Benutzeroberfläche: Transparenz der Umrisse und Symbole,Contornos de la interfaz de usuario y opacidad/transparencia de los iconos.,Contours de l'interface utilisateur et opacité/transparence des icônes.,Contorno e opacità/trasparenza IU.,UIアウトラインとアイコンの不透明度/透明度。,UI 아웃라인과 아이콘 불투명도/투명도.,Ramy interfejsu i nieprzezroczystość / przezroczystość ikon.,Opacidade/transparência dos contornos e ícones da IU.,Контуры ПИ и значок непрозрачности/ прозрачности.,Arayüz ana hat ve simge opaklığı/saydamlığı.,UI轮廓与图标透明度/可见度。,UI 輪廓和圖標不透明度/透明度。,Contornos de la interfaz de usuario y opacidad/transparencia de los iconos.
xuiOptionsVideoUiSizeTooltip2,UI,XUi Video Options,x,,Scales down all UI elements.,,Verkleinert alle Elemente der Benutzeroberfläche.,Reduce a escala el tamaño de todos los elementos de la interfaz del usuario.,Réduit la taille de tous les éléments de l'interface utilisateur.,Ridimensiona tutti gli elementi dell'IU.,すべてのUI エレメントを縮小します。,모든 UI 요소의 크기를 줄입니다,Zmniejsza skalę wszystkich elementów interfejsu.,Reduz o tamanho de todos os elementos da IU.,Уменьшает все элементы пользовательского интерфейса.,Tüm Kullanıcı Arayüzü öğelerinin ölçeğini azaltır.,缩小所有 UI 元素。,向下調整所有UI元素。,Reduce a escala el tamaño de todos los elementos de la interfaz del usuario.
xuiOptionsVideoScreenBoundsTooltip2,UI,XUi Video Options,x,,Limits the area the UI uses on the screen.,,"Begrenzt die Fläche, die die Benutzeroberfläche auf dem Bildschirm einnimmt.",Limita el área ocupada por la interfaz del usuario en la pantalla.,Limite la zone utilisée par l'interface utilisateur sur l'écran.,Limita l'area utilizzata dall'IU sullo schermo.,画面上に表示されるUIのサイズを制限します。,화면에 표시되는 UI 지역을 제한합니다.,Ogranicza obszar używany na ekranie przez interfejs.,Limita o tamanho da IU na tela.,Ограничение размера ПИ на экране.,Kullanıcı Arayüzünün ekranda kullandığı alanı sınırlar.,限制 UI 在屏幕上使用的区域。,限制螢幕上UI使用的區域。,Limita el área ocupada por la interfaz del usuario en la pantalla.
xuiOptionsVideoTempCelsiusTooltip2,UI,XUi Video Options,x,,Unit to use when displaying temperatures.,,Einheit für die Anzeige von Temperaturen,Unidad a utilizar para la visualización de las temperaturas.,Unité utilisée pour l'affichage des températures.,L'unità di misura da utilizzare per le temperature.,温度を表示する際に使用する単位です。,온도를 나타낼 때 사용되는 단위.,Jednostka wyświetlanej temperatury.,Unidade para usar ao exibir temperaturas.,Устройство для показа температуры.,Sıcaklık gösterilirken kullanılacak ölçü birimi.,显示温度时所使用的单位。,顯示溫度時使用的單位,Unidad a utilizar para la visualización de las temperaturas.
xuiOptionsVideoJournalPopupTooltip2,UI,XUi Video Options,x,,Show a window when receiving a new journal entry instead of a tooltip.,,"Zeigt ein Fenster anstelle von Kurzinfos an, wenn du neue Tagebucheinträge erhältst.",Mostrar una ventana al recibir un nuevo asiento en lugar de la información de la herramienta.,"Affiche une fenêtre à la réception d'une entrée dans le journal, au lieu d'une infobulle.",Mostra una finestra quando ricevi una nuova voce del diario invece di un suggerimento.,ツールチップではなく、ジャーナルエントリーを受信した際にウィンドウを表示します。,새로운 일기 항목 수신 시 툴팁 대신 창을 보여줍니다.,Po odbiorze nowego wpisu w dzienniku zamiast etykietki pokazuje okno.,Exibe uma janela em vez de uma dica ao receber uma nova entrada para o diário.,Показывать вместо всплывающей подсказки окно при получении новой записи журнала.,Yeni bir günlük notu aldığında araç ipucu yerine pencere göster.,获得新的日志条目时显示窗口而不只是一条工具提示。,收到新日誌條目而不是提示信息時顯示的視窗。,Mostrar una ventana al recibir un nuevo asiento en lugar de la información de la herramienta.
xuiOptionsVideoUiFpsScalingTooltip2,UI,XUi Video Options,x,,"Scale the size of the FPS display in game, e.g. for better readability in videos/streams or a less obstructed view.",,"Skaliere die FPS-Anzeige im Spiel, z. B. für eine bessere Lesbarkeit in Videos/Streams oder eine weniger beeinträchtigte Sicht.","Escala el tamaño de la pantalla FPS en el juego, por ejemplo, para lograr una mayor legibilidad en videos/transmisiones o para tener una vista menos obstruida.","Réglez la taille de l'affichage des IPS dans le jeu, par exemple pour une meilleure visibilité dans les vidéos ou les streams, ou bien pour que cela vous gêne moins.","Ridimensiona la scritta degli FPS in gioco, per una leggibilità migliore durante gli streaming o per una visuale meno ridotta.",ゲーム内のFPSディスプレイのサイズをスケーリングします。録画/ストリーミングを行う際の画質向上や視認性の向上につながる場合があります。,게임 내 FPS 디스플레이 크기를 설정하여 영상/방송 중 가시성을 올리거나 덜 가려지게 합니다.,"Dopasuj skalę wyświetlanych klatek na sekundę w grze, np. dla lepszej czytelności w filmikach/transmisjach lub dla bardziej przejrzystego ekranu gry.","Dimensão da exibição da taxa de quadros no jogo para, por exemplo, melhorar a visibilidade ou a legibilidade em vídeos/transmissões.","Измените размер FPS дисплея в игре, чтобы удобнее было смотреть видео и трансляции, или чтобы ничего не мешало обзору.",Videolarda/yayınlarda daha kolay okunabilmesi veya görünümü daha az engellemesi için oyun içindeki FPS göstergesinin boyutunu ölçeklendir.,在游戏中缩放 FPS 显示的大小，例如为了使视频/流媒体播放更流畅，减少卡顿。,更改遊戲中 FPS 顯示的大小，以便在影片/串流中獲得更好的清晰度，或在觀看時保持流暢。,"Escala el tamaño de la pantalla FPS en el juego, por ejemplo, para lograr una mayor legibilidad en videos/transmisiones o para tener una vista menos obstruida."

Video Options, Dynamic Mesh Settings
